Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,1.351166059,1.410645793,1.694729788,1.748593374,1.982569886,0.903806309,0.916739309,1.028037849,1.065821929,1.121397344,1.114046147,1.197733519,1.067446156,1.098589514,1.208084947,1.194329205,1.166167561,1.120664063,1.110308595,0.742241766,0.738678206,0.802165962,0.820623932,0.813644213,0.818385322,0.816588672,0.950384075,1.095975293,0.88033496,0.873405083,0.933955927,1.002053319,1.028346213,1.178593218,1.609625219,2.062968534,1.776957385,2.14597188,1.949433311,2.250755158,2.352302227,2.017801528,2.546606882,2.548840019,,,,,
Albania,ALB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,3.504445756,3.986335214,5.532737638,6.123031306,6.91916246,7.459715709,8.148727192,7.956728351,10.26375916,8.259654631,9.727009603,9.985082751,9.675467522,7.964705003,6.741081812,11.98675178,10.13453855,8.669958512,9.1478928,4.676392164,5.399556478,8.468053362,10.01265463,10.68657388,12.31192778,16.0252894,14.37231744,13.87529527,20.23647974,19.67769858,18.2950698,17.9367849,18.78115043,20.6821147,20.33206363,14.00644714,15.54963186,19.26881768,21.87501519,23.28219188,22.10933619,25.41917376,26.06878501,24.54805021,,,,,
Andorra,AND,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,1.399919376,1.423457372,1.240940665,1.38793939,1.372053277,1.442331333,1.507832515,1.386619713,1.244475848,1.111381266,0.970610029,0.874438682,0.750300966,0.759656925,0.693671441,0.660358567,0.689413517,0.635368371,0.642140751,0.597810619,0.527419316,0.460234844,0.432853387,0.424850356,0.409780731,0.443233148,0.442064278,0.442780641,0.465493775,0.424140908,0.428035137,0.3625566,0.396425896,0.390466661,0.445672922,0.423073457,0.423763488,0.350603829,0.358836227,0.434215321,0.416437985,0.396857462,0.446660791,0.414413209,,,,,
United Arab Emirates,ARE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025763192,0.09690708,,,,,
Argentina,ARG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.394625117,0.378243268,0.723501021,1.934735896,3.07011219,2.961250822,2.41597642,3.651779428,3.93754544,4.573464382,4.890516609,4.870404995,5.909089138,6.738568199,7.928157139,7.511896381,7.700671708,5.860056517,5.221075696,6.773688725,6.572841226,6.38619001,7.257551576,7.610626658,6.936594495,6.432940146,7.238905029,6.760790928,5.712306774,6.031399087,7.74526183,7.411579028,7.425496954,6.439838301,6.424235431,6.770591047,5.774867856,5.42888057,6.185341603,5.68326959,5.859038801,5.570560954,5.671430157,5.501503643,,,,,
Armenia,ARM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.510409999,1.484904492,4.390764652,10.22637154,12.53781898,10.31906381,38.17418641,27.03983211,25.90326628,33.11921043,29.18085317,28.33116807,36.39768901,32.02426922,32.78697079,32.17229758,31.56508894,27.84265207,25.69627509,30.17802071,32.51402351,29.92376523,24.56447305,25.72974126,25.71826413,,,,,
American Samoa,ASM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
